Pc_bar,OF,Pamb_atm,eps_at_Pamb_interp
37.0,6.5,0.9,5.913939027549874

eps,p_exit_atm
0.5,36.999
1.0,21.129
1.5,7.3275
2.0,4.5221
2.5,3.1843
3.0,2.4128
3.5,1.9174
4.0,1.5759
4.5,1.3281
5.0,1.1412
5.5,0.99586
6.0,0.88007
6.5,0.78593
7.0,0.70811
7.5,0.64284
8.0,0.58743
8.5,0.53988
9.0,0.49868
9.5,0.4627
10.0,0.43104
10.5,0.40299
11.0,0.37798
11.5,0.35558
12.0,0.33542
12.5,0.31719
13.0,0.30062
13.5,0.28552
14.0,0.27171
14.5,0.25902
15.0,0.24735
15.5,0.23657
16.0,0.22659
16.5,0.21732
17.0,0.20871
17.5,0.20068
18.0,0.19317
18.5,0.18615
19.0,0.17957
19.5,0.17338
20.0,0.16757
20.5,0.16208
21.0,0.15691
21.5,0.15202
22.0,0.14739
22.5,0.14301
23.0,0.13885
23.5,0.1349
24.0,0.13114
24.5,0.12757
25.0,0.12416
