x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.000000,0.048000,0.060586,1.166800,3299.899,800.000,1.382176,1557.356,3893233.562
0.000412,0.047712,0.061323,1.166800,3299.897,800.000,1.382173,1574.330,3935662.272
0.000823,0.047423,0.062074,1.166800,3299.894,800.000,1.382170,1591.593,3978814.422
0.001235,0.047135,0.062839,1.166800,3299.891,800.000,1.382168,1609.153,4022706.846
0.001647,0.046847,0.063618,1.166800,3299.889,800.000,1.382165,1627.015,4067356.878
0.002058,0.046559,0.064411,1.166800,3299.886,800.000,1.382162,1645.188,4112782.366
0.002470,0.046270,0.065220,1.166800,3299.883,800.000,1.382159,1663.679,4159001.692
0.002882,0.045982,0.066044,1.166800,3299.880,800.000,1.382156,1682.494,4206033.792
0.003293,0.045694,0.066884,1.166800,3299.877,800.000,1.382152,1701.643,4253898.175
0.003705,0.045406,0.067740,1.166800,3299.874,800.000,1.382149,1721.133,4302614.946
0.004117,0.045117,0.068613,1.166800,3299.870,800.000,1.382146,1740.972,4352204.825
0.004528,0.044829,0.069503,1.166800,3299.867,800.000,1.382142,1761.169,4402689.175
0.004940,0.044541,0.070410,1.166800,3299.864,800.000,1.382138,1781.733,4454090.019
0.005352,0.044253,0.071336,1.166800,3299.860,800.000,1.382134,1802.673,4506430.072
0.005763,0.043964,0.072279,1.166800,3299.856,800.000,1.382130,1823.998,4559732.761
0.006175,0.043676,0.073242,1.166800,3299.852,800.000,1.382126,1845.718,4614022.259
0.006587,0.043388,0.074224,1.166800,3299.848,800.000,1.382122,1867.843,4669323.508
0.006998,0.043100,0.075227,1.166800,3299.844,800.000,1.382118,1890.383,4725662.251
0.007410,0.042811,0.076249,1.166800,3299.840,800.000,1.382113,1913.348,4783065.063
0.007822,0.042523,0.077293,1.166800,3299.836,800.000,1.382109,1936.751,4841559.384
0.008233,0.042235,0.078359,1.166800,3299.831,800.000,1.382104,1960.602,4901173.553
0.008645,0.041947,0.079447,1.166800,3299.826,800.000,1.382099,1984.913,4961936.844
0.009057,0.041658,0.080558,1.166800,3299.821,800.000,1.382094,2009.695,5023879.503
0.009468,0.041370,0.081693,1.166800,3299.816,800.000,1.382088,2034.963,5087032.788
0.009880,0.041082,0.082852,1.166800,3299.811,800.000,1.382083,2060.727,5151429.007
0.010292,0.040794,0.084036,1.166800,3299.806,800.000,1.382077,2087.003,5217101.568
0.010703,0.040505,0.085245,1.166800,3299.800,800.000,1.382071,2113.803,5284085.015
0.011115,0.040217,0.086482,1.166800,3299.794,800.000,1.382065,2141.142,5352415.083
0.011527,0.039929,0.087745,1.166800,3299.788,800.000,1.382058,2169.035,5422128.745
0.011938,0.039641,0.089037,1.166800,3299.782,800.000,1.382052,2197.497,5493264.261
0.012350,0.039352,0.090358,1.166800,3299.775,800.000,1.382045,2226.544,5565861.237
0.012762,0.039064,0.091708,1.166800,3299.769,800.000,1.382038,2256.193,5639960.681
0.013173,0.038776,0.093090,1.166800,3299.762,800.000,1.382030,2286.460,5715605.063
0.013585,0.038488,0.094503,1.166800,3299.754,800.000,1.382023,2317.363,5792838.377
0.013997,0.038199,0.095949,1.166800,3299.747,800.000,1.382015,2348.920,5871706.210
0.014408,0.037911,0.097429,1.166800,3299.739,800.000,1.382006,2381.151,5952255.811
0.014820,0.037623,0.098943,1.166800,3299.731,800.000,1.381998,2414.074,6034536.164
0.015232,0.037335,0.100494,1.166800,3299.722,800.000,1.381989,2447.711,6118598.064
0.015643,0.037046,0.102081,1.166800,3299.713,800.000,1.381979,2482.082,6204494.203
0.016055,0.036758,0.103707,1.166800,3299.704,800.000,1.381969,2517.209,6292279.252
0.016467,0.036470,0.105373,1.166800,3299.695,800.000,1.381959,2553.116,6382009.951
0.016878,0.036182,0.107080,1.166800,3299.685,800.000,1.381949,2589.825,6473745.208
0.017290,0.035893,0.108829,1.166800,3299.674,800.000,1.381938,2627.361,6567546.194
0.017702,0.035605,0.110622,1.166800,3299.664,800.000,1.381926,2665.749,6663476.455
0.018113,0.035317,0.112460,1.166800,3299.652,800.000,1.381914,2705.017,6761602.016
0.018525,0.035029,0.114345,1.166800,3299.641,800.000,1.381902,2745.191,6861991.509
0.018937,0.034740,0.116278,1.166800,3299.628,800.000,1.381889,2786.301,6964716.285
0.019348,0.034452,0.118262,1.166800,3299.616,800.000,1.381875,2828.375,7069850.557
0.019760,0.034164,0.120297,1.166800,3299.602,800.000,1.381861,2871.446,7177471.531
0.020172,0.033876,0.122387,1.166800,3299.588,800.000,1.381847,2915.544,7287659.556
0.020583,0.033587,0.124532,1.166800,3299.574,800.000,1.381831,2960.704,7400498.280
0.020995,0.033299,0.126735,1.166800,3299.559,800.000,1.381815,3006.961,7516074.810
0.021407,0.033011,0.128999,1.166800,3299.543,800.000,1.381798,3054.351,7634479.891
0.021818,0.032723,0.131324,1.166800,3299.526,800.000,1.381781,3102.912,7755808.086
0.022230,0.032434,0.133715,1.166800,3299.509,800.000,1.381762,3152.683,7880157.973
0.022642,0.032146,0.136172,1.166800,3299.490,800.000,1.381743,3203.706,8007632.352
0.023053,0.031858,0.138700,1.166800,3299.471,800.000,1.381723,3256.024,8138338.462
0.023465,0.031570,0.141300,1.166800,3299.451,800.000,1.381701,3309.682,8272388.215
0.023877,0.031281,0.143975,1.166800,3299.430,800.000,1.381679,3364.726,8409898.443
0.024288,0.030993,0.146729,1.166800,3299.409,800.000,1.381656,3421.206,8550991.156
0.024700,0.030705,0.149565,1.166800,3299.385,800.000,1.381632,3479.173,8695793.828
0.025112,0.030417,0.152486,1.166800,3299.361,800.000,1.381606,3538.680,8844439.685
