x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.101171,0.036368,2.780235,1.240938,3140.879,800.000,1.140234,11751.118,27507947.432
0.101398,0.036423,2.782695,1.241197,3140.645,800.000,1.139707,11713.756,27417742.109
0.101625,0.036477,2.785134,1.241452,3140.413,800.000,1.139186,11676.842,27328635.493
0.101852,0.036532,2.787551,1.241703,3140.185,800.000,1.138670,11640.370,27240615.885
0.102079,0.036586,2.789946,1.241949,3139.959,800.000,1.138160,11604.336,27153671.754
0.102306,0.036639,2.792320,1.242192,3139.736,800.000,1.137656,11568.736,27067791.735
0.102533,0.036692,2.794673,1.242430,3139.516,800.000,1.137158,11533.565,26982964.623
0.102760,0.036745,2.797005,1.242664,3139.299,800.000,1.136665,11498.819,26899179.373
0.102987,0.036797,2.799316,1.242895,3139.085,800.000,1.136178,11464.494,26816425.095
0.103214,0.036849,2.801605,1.243121,3138.874,800.000,1.135697,11430.584,26734691.057
0.103441,0.036901,2.803874,1.243342,3138.665,800.000,1.135221,11397.087,26653966.674
0.103668,0.036952,2.806122,1.243560,3138.459,800.000,1.134751,11363.998,26574241.514
0.103895,0.037003,2.808349,1.243774,3138.256,800.000,1.134287,11331.313,26495505.289
0.104122,0.037053,2.810556,1.243984,3138.055,800.000,1.133828,11299.027,26417747.858
0.104348,0.037103,2.812742,1.244190,3137.857,800.000,1.133375,11267.137,26340959.221
0.104575,0.037153,2.814908,1.244391,3137.662,800.000,1.132928,11235.639,26265129.519
0.104802,0.037202,2.817053,1.244589,3137.470,800.000,1.132486,11204.529,26190249.029
0.105029,0.037251,2.819178,1.244783,3137.280,800.000,1.132050,11173.804,26116308.167
0.105256,0.037299,2.821284,1.244973,3137.093,800.000,1.131619,11143.459,26043297.480
0.105483,0.037347,2.823369,1.245159,3136.908,800.000,1.131193,11113.490,25971207.650
0.105710,0.037395,2.825434,1.245342,3136.726,800.000,1.130773,11083.895,25900029.484
0.105937,0.037442,2.827479,1.245520,3136.547,800.000,1.130359,11054.669,25829753.923
0.106164,0.037489,2.829505,1.245695,3136.370,800.000,1.129950,11025.809,25760372.029
0.106391,0.037535,2.831510,1.245866,3136.196,800.000,1.129546,10997.312,25691874.992
0.106618,0.037581,2.833496,1.246033,3136.024,800.000,1.129148,10969.173,25624254.122
0.106845,0.037627,2.835463,1.246196,3135.855,800.000,1.128755,10941.390,25557500.851
0.107072,0.037672,2.837410,1.246356,3135.688,800.000,1.128368,10913.960,25491606.728
0.107299,0.037717,2.839338,1.246512,3135.524,800.000,1.127985,10886.878,25426563.424
0.107526,0.037762,2.841246,1.246664,3135.362,800.000,1.127608,10860.142,25362362.720
