Pc_bar,OF,Pamb_atm,eps_at_Pamb_interp
30.0,6.5,0.82943,5.390507839127471

eps,p_exit_atm
0.5,30.0
1.0,17.126
1.5,5.9283
2.0,3.655
2.5,2.5723
3.0,1.9484
3.5,1.5481
4.0,1.2722
4.5,1.0721
5.0,0.92109
5.5,0.80373
6.0,0.71023
6.5,0.63423
7.0,0.5714
7.5,0.51871
8.0,0.47398
8.5,0.4356
9.0,0.40235
9.5,0.37331
10.0,0.34775
10.5,0.32512
11.0,0.30495
11.5,0.28687
12.0,0.27059
12.5,0.25587
13.0,0.24251
13.5,0.23032
14.0,0.21917
14.5,0.20894
15.0,0.19952
15.5,0.19082
16.0,0.18277
16.5,0.1753
17.0,0.16835
17.5,0.16187
18.0,0.15582
18.5,0.15015
19.0,0.14484
19.5,0.13985
20.0,0.13516
20.5,0.13074
21.0,0.12656
21.5,0.12262
22.0,0.11889
22.5,0.11535
23.0,0.112
23.5,0.10881
24.0,0.10578
24.5,0.1029
25.0,0.10015
