x_m,r_m,Ma_iso,delta_star_m,r_eff_m,Ma_eff,mu_Pa_s,Re_x_plot
0.041166,0.015831,1.229116,1.28356990e-04,0.015703,1.181316,8.57819154e-05,8.695827e+05
0.041197,0.015842,1.232773,1.28493213e-04,0.015714,1.185784,8.57481276e-05,8.693737e+05
0.041227,0.015853,1.236432,1.28628883e-04,0.015725,1.190220,8.57142633e-05,8.691470e+05
0.041258,0.015865,1.240090,1.28764008e-04,0.015736,1.194625,8.56803231e-05,8.689026e+05
0.041289,0.015876,1.243750,1.28898592e-04,0.015747,1.199003,8.56463078e-05,8.686404e+05
0.041320,0.015888,1.247411,1.29032643e-04,0.015759,1.203353,8.56122183e-05,8.683607e+05
0.041350,0.015900,1.251072,1.29166165e-04,0.015770,1.207679,8.55780552e-05,8.680634e+05
0.041381,0.015911,1.254734,1.29299164e-04,0.015782,1.211982,8.55438196e-05,8.677486e+05
0.041411,0.015924,1.258397,1.29431645e-04,0.015794,1.216263,8.55095120e-05,8.674165e+05
0.041441,0.015936,1.262060,1.29563613e-04,0.015806,1.220523,8.54751334e-05,8.670670e+05
0.041472,0.015948,1.265723,1.29695073e-04,0.015819,1.224763,8.54406845e-05,8.667002e+05
0.041502,0.015961,1.269387,1.29826029e-04,0.015831,1.228985,8.54061661e-05,8.663163e+05
0.041532,0.015974,1.273051,1.29956486e-04,0.015844,1.233189,8.53715792e-05,8.659153e+05
0.041562,0.015986,1.276716,1.30086447e-04,0.015856,1.237376,8.53369244e-05,8.654973e+05
0.041592,0.015999,1.280381,1.30215917e-04,0.015869,1.241547,8.53022027e-05,8.650624e+05
0.041622,0.016013,1.284045,1.30344899e-04,0.015882,1.245703,8.52674148e-05,8.646106e+05
0.041652,0.016026,1.287710,1.30473398e-04,0.015896,1.249844,8.52325615e-05,8.641420e+05
0.041682,0.016040,1.291375,1.30601416e-04,0.015909,1.253972,8.51976438e-05,8.636568e+05
0.041712,0.016053,1.295040,1.30728957e-04,0.015923,1.258086,8.51626625e-05,8.631550e+05
0.041741,0.016067,1.298705,1.30856025e-04,0.015936,1.262187,8.51276183e-05,8.626367e+05
0.041771,0.016081,1.302370,1.30982621e-04,0.015950,1.266276,8.50925122e-05,8.621020e+05
0.041801,0.016095,1.306034,1.31108750e-04,0.015964,1.270353,8.50573449e-05,8.615510e+05
0.041830,0.016110,1.309698,1.31234414e-04,0.015978,1.274419,8.50221174e-05,8.609837e+05
0.041859,0.016124,1.313362,1.31359615e-04,0.015993,1.278474,8.49868305e-05,8.604004e+05
0.041889,0.016139,1.317025,1.31484357e-04,0.016007,1.282518,8.49514850e-05,8.598010e+05
0.041918,0.016153,1.320688,1.31608641e-04,0.016022,1.286552,8.49160819e-05,8.591858e+05
0.041947,0.016168,1.324350,1.31732471e-04,0.016037,1.290577,8.48806219e-05,8.585547e+05
0.041976,0.016183,1.328012,1.31855848e-04,0.016052,1.294592,8.48451059e-05,8.579079e+05
0.042005,0.016199,1.331673,1.31978774e-04,0.016067,1.298597,8.48095348e-05,8.572454e+05
0.042034,0.016214,1.335334,1.32101251e-04,0.016082,1.302594,8.47739095e-05,8.565675e+05
0.042063,0.016230,1.338993,1.32223282e-04,0.016097,1.306581,8.47382308e-05,8.558742e+05
0.042092,0.016245,1.342652,1.32344868e-04,0.016113,1.310561,8.47024996e-05,8.551655e+05
0.042120,0.016261,1.346310,1.32466010e-04,0.016129,1.314532,8.46667168e-05,8.544417e+05
