Pc_bar,OF,Pamb_atm,eps_at_Pamb_interp
30.0,6.5,0.852,5.327999662247741

eps,p_exit_atm
0.5,30.0
1.0,17.147
1.5,5.9602
2.0,3.6819
2.5,2.5938
3.0,1.9656
3.5,1.5621
4.0,1.2839
4.5,1.082
5.0,0.92969
5.5,0.81126
6.0,0.7169
6.5,0.64019
7.0,0.57678
7.5,0.5236
8.0,0.47846
8.5,0.43971
9.0,0.40615
9.5,0.37684
10.0,0.35104
10.5,0.32818
11.0,0.30782
11.5,0.28958
12.0,0.27315
12.5,0.2583
13.0,0.2448
13.5,0.2325
14.0,0.22125
14.5,0.21092
15.0,0.20141
15.5,0.19263
16.0,0.1845
16.5,0.17696
17.0,0.16994
17.5,0.1634
18.0,0.15729
18.5,0.15157
19.0,0.14621
19.5,0.14117
20.0,0.13643
20.5,0.13197
21.0,0.12775
21.5,0.12377
22.0,0.12
22.5,0.11643
23.0,0.11305
23.5,0.10983
24.0,0.10677
24.5,0.10386
25.0,0.10109
