x_m,delta_star_m,momentum_thickness_m,shape_factor,skin_friction_coefficient,wall_shear_stress_Pa,wall_temperature_K,effective_radius_m,Re_s,mu_edge_Pa_s,Mach_effective
0.0,3.246008516069304e-05,2.3364309471656043e-05,1.3893021405178425,0.13175947942228503,559.1798069238015,3303.198881906889,0.0599675399148393,1.5559008750856675,9.860553001571977e-05,0.0491878140436004
0.00023594251073635886,3.9039780114021176e-05,2.6288911435642748e-05,1.4850284010273123,0.11783647074372863,509.5973066447463,3303.1960882915964,0.059679774885070216,576.5230011264741,9.860527040227863e-05,0.049664410213169696
0.00047188502147272465,4.561947506734939e-05,2.9213513399629487e-05,1.561588106274406,0.10437773570400725,460.01480636569056,3303.1932279296584,0.059392009855301124,1164.02399197957,9.86050045467999e-05,0.05014798742143921
0.0007078275322090835,5.219917002067734e-05,3.213811536361611e-05,1.6242137857210057,0.09137385136828376,410.4323060866368,3303.1902988935694,0.05910424482553205,1762.7387642457415,9.860473226826322e-05,0.050638683251913945
0.0009437700429454493,5.877886497400555e-05,3.5062717327602846e-05,1.6763921753358333,0.07881551118854438,360.8498058075811,3303.1872991903756,0.05881647979576296,2372.9091398786227,9.860445337948174e-05,0.05113663871247043
0.0011797125536818082,6.53585599273335e-05,3.7987319291589466e-05,1.7205362512064422,0.06669352432956137,311.26730552852734,3303.184226759128,0.05852871476599388,2994.7831526541704,9.860416768686412e-05,0.051641998343646064
0.001415655064418174,7.193825488066172e-05,4.091192125557621e-05,1.7583690199065556,0.054998814970694795,261.6848052494716,3303.181079468196,0.0582409497362248,3628.615236275934,9.860387499015867e-05,0.05215491032070083
0.0016515975751545328,7.851794983398984e-05,4.383652321956291e-05,1.7911536788791147,0.04372242162347462,212.10230497041647,3303.177855112476,0.057953184706455704,4274.666418947817,9.860357508219126e-05,0.05267552656816385
0.0018875400858908917,8.509764478731779e-05,4.676112518354953e-05,1.8198374066767533,0.03285549644458683,162.5198046913627,3303.1745514104764,0.057665419676686626,4933.204524835389,9.860326774858888e-05,0.053204002874236926
0.0021234825966272575,9.167733974064601e-05,4.968572714753627e-05,1.8451443705034303,0.02238930454914781,112.93730441230696,3303.171166001256,0.05737765464691754,5604.504382659666,9.860295276749188e-05,0.05374049901033707
0.0023594251073636163,9.825703469397415e-05,5.261032911152298e-05,1.8676377120867202,0.012315223324118107,63.354804133251854,3303.16769644125,0.05708988961714845,6288.8480417115,9.860262990925227e-05,0.05428517885499895
0.002595367618099982,9.868481280112064e-05,5.303293152213739e-05,1.8608213796351596,0.012257890105931594,64.31847539944216,3303.16414020092,0.05680827650422554,6986.524995588045,9.860229893611962e-05,0.05482629531468438
0.002831310128836341,9.911259090826711e-05,5.345553393275178e-05,1.854112822686476,0.012196884643916212,65.28214666563245,3303.160494661277,0.05652666339130265,7697.832413966506,9.860195960190998e-05,0.05537557183917063
0.0030672526395727068,9.95403690154136e-05,5.387813634336619e-05,1.8475095051736998,0.012132332269597167,66.24581793182277,3303.1567571102273,0.05624505027837974,8423.075382744799,9.86016116516628e-05,0.0559331741681837
0.0033031951503090656,9.996814712256008e-05,5.4300738753980595e-05,1.8410089699789172,0.01206435636455537,67.20948919801307,3303.152924738754,0.05596343716545683,9162.56715289393,9.860125482127903e-05,0.05649927230092889
0.0035391376610454245,0.00010039592522970655,5.472334116459499e-05,1.8346088358848398,0.011993078373747593,68.17316046420335,3303.148994636926,0.05568182405253393,9916.629398383362,9.860088883714429e-05,0.05707404062937605
0.0037750801717817903,0.00010082370333685304,5.51459435752094e-05,1.828306794666541,0.011918617818825682,69.13683173039367,3303.144963789708,0.055400210939611026,10685.592483556606,9.860051341573309e-05,0.05765765807649326
0.004011022682518149,0.0001012514814439995,5.556854598582379e-05,1.8221006083158984,0.011841092311291554,70.10050299658394,3303.1408290725853,0.05511859782668813,11469.795740431278,9.860012826319488e-05,0.05825030823915883
0.004246965193254515,0.000101679259551146,5.5991148396438204e-05,1.8159881063917271,0.011760617566592494,71.06417426277426,3303.1365872469837,0.054836984713765226,12269.587755805329,9.859973307492151e-05,0.0588521795394774
0.004482907703990874,0.00010210703765829248,5.641375080705261e-05,1.8099671834890207,0.011677307415956593,72.02784552896456,3303.1322349554393,0.05455537160084232,13085.32667014323,9.859932753509075e-05,0.0594634653738676
0.004718850214727233,0.00010253481576543894,5.6836353217667e-05,1.8040357968210925,0.011591273821059105,72.99151679515484,3303.1277687165875,0.054273758487919425,13917.380486255062,9.859891131619222e-05,0.0600843642790844
0.0049547927254635984,0.00010296259387258543,5.725895562828141e-05,1.7981919639087869,0.011502626886770163,73.95518806134515,3303.1231849198716,0.05399214537499651,14766.12739051068,9.859848407852765e-05,0.06071508009539453
0.005190735236199957,0.000103017341893121,5.7436298248278956e-05,1.7935929897120042,0.011477232055111392,75.3505697783526,3303.1184798200075,0.053710905292160216,15631.956085889717,9.859804546968679e-05,0.06135496641189441
0.005426677746936323,0.00010307208991365655,5.76136408682765e-05,1.7890223280509703,0.011446703952588826,76.74595149536006,3303.113649531182,0.05342966520932392,16515.266137698083,9.859759512399989e-05,0.06200506652298861
0.005662620257672682,0.00010312683793419211,5.779098348827405e-05,1.7844797182784895,0.011411211409805886,78.14133321236747,3303.1086900209616,0.05314842512648764,17416.468332477965,9.859713266196056e-05,0.06266560035760566
0.005898562768409041,0.00010318158595472768,5.7968326108271597e-05,1.7799649029369597,0.011370920554443716,79.53671492937491,3303.1035971039046,0.05286718504365134,18335.985050587948,9.859665768962307e-05,0.06333679384964801
0.006134505279145407,0.00010323633397526324,5.8145668728269144e-05,1.775477627709732,0.011325994829782433,80.93209664638238,3303.098366434839,0.05258594496081504,19274.25065387581,9.859616979796496e-05,0.06401887913635874
0.0063704477898817655,0.00010329108199579879,5.8323011348266684e-05,1.771017641373357,0.011276595015498466,82.32747836338979,3303.0929935018544,0.05230470487797876,20231.71188652534,9.859566856222547e-05,0.06471209476967152
0.006606390300618131,0.00010334583001633436,5.850035396826423e-05,1.7665846957507005,0.011222879245395303,83.72286008039724,3303.0874736188694,0.052023464795142464,21208.828294048177,9.859515354120185e-05,0.06541668592938912
0.00684233281135449,0.00010340057803686992,5.867769658826178e-05,1.7621785456649088,0.011165003027435179,85.11824179740465,3303.0818019178873,0.051742224712306176,22206.07265679651,9.859462427651682e-05,0.06613290464986445
0.007078275322090856,0.00010345532605740547,5.8855039208259325e-05,1.7577989488942052,0.011103119262842864,86.51362351441212,3303.075973340818,0.05146098462946988,23223.931441332657,9.859408029184575e-05,0.06686101005388392
0.007314217832827215,0.00010351007407794104,5.903238182825687e-05,1.753445666127504,0.011037378265355835,87.90900523141956,3303.069982630909,0.051179744546633585,24262.90526956309,9.859352109210383e-05,0.06760126859642576
0.007550160343563581,0.00010331631031961847,5.9041097653110444e-05,1.7499049717307464,0.01102595780114399,89.77688599258309,3303.0638243237217,0.050898752975576146,25323.509406207337,9.859294616259475e-05,0.06835328345921797
0.007786102854299939,0.00010312254656129592,5.904981347796401e-05,1.7463653225556557,0.011008426767303408,91.64476675374654,3303.0574927376156,0.05061776140451872,26406.274267355115,9.859235496810837e-05,0.0691179846850671
0.008022045365036298,0.00010292878280297336,5.905852930281758e-05,1.7428267181394712,0.010984990906628788,93.51264751491006,3303.0509819638132,0.05033676983346128,27511.745946374474,9.859174695198122e-05,0.06989566150943936
0.008257987875772664,0.0001027350190446508,5.9067245127671154e-05,1.739289158019707,0.01095585251864744,95.38052827607359,3303.044285855853,0.050055778262403844,28640.48676467629,9.85911215350982e-05,0.0706866115513336
0.008493930386509023,0.00010254125528632824,5.9075960952524726e-05,1.7357526417341493,0.010921210485993671,97.24840903723704,3303.037398018543,0.04977478669134641,29793.075842586106,9.85904781148472e-05,0.07149114110850123
0.008729872897245389,0.00010234749152800568,5.908467677737829e-05,1.7322171688208572,0.010881260300072273,99.11628979840057,3303.030311796314,0.04949379512028897,30970.109694442333,9.858981606401602e-05,0.07230956546789578
0.008965815407981748,0.00010215372776968312,5.9093392602231864e-05,1.7286827388181625,0.010836194086824728,100.98417055956408,3303.0230202609437,0.049212803549231535,32172.20284809026,9.858913472963026e-05,0.07314220922895551
0.009201757918718106,0.00010195996401136057,5.9102108427085437e-05,1.725149351264669,0.01078620063249208,102.85205132072754,3303.0155161986295,0.04893181197817411,33399.98849005036,9.858843343173039e-05,0.07398940664078969
0.009437700429454472,0.000101766200253038,5.911082425193901e-05,1.7216170056992526,0.010731465409374329,104.71993208189107,3303.0077920963563,0.04865082040711667,34654.119137580805,9.858771146207989e-05,0.07485150195397125
0.009673642940190831,0.00010157243649471545,5.9119540076792574e-05,1.718085701661062,0.010672170601586161,106.58781284305452,3302.9998401275257,0.048369828836059246,35935.26733891696,9.858696808280471e-05,0.0757288497876796
0.009909585450927197,0.00010137867273639288,5.9128255901646147e-05,1.714555438689516,0.010608495130809022,108.45569360421811,3302.9916521367913,0.048088837265001794,37244.126403043396,9.858620252495744e-05,0.0766218155129826
0.010145527961663556,0.0001009985441466407,5.9004444566285125e-05,1.7117107853321072,0.010608535068163732,111.03446457392248,3302.98321962406,0.0478080320587758,38581.41116042295,9.858541398700168e-05,0.07753016724252763
0.010381470472399915,0.0001006184155568885,5.888063323092411e-05,1.708854168776903,0.010601369543423916,113.61323554362683,3302.974533727608,0.0475272268525498,39947.85875619148,9.858460163321302e-05,0.07845487949026156
0.01061741298313628,0.0001002382869671363,5.875682189556309e-05,1.7059855133979875,0.010587251496269207,116.19200651333128,3302.9655852062397,0.0472464216463238,41344.22947740396,9.858376459198875e-05,0.0793963515489342
0.010853355493872646,9.98581583773841e-05,5.863301056020206e-05,1.7031047429306685,0.010566429390574146,118.77077748303573,3302.956364420451,0.046965616440097786,42771.307616007434,9.858290195406444e-05,0.080354995141508
0.011089298004609005,9.947802978763191e-05,5.8509199224841036e-05,1.7002117804647185,0.010539147249947794,121.34954845274017,3302.9468613125237,0.046684811233871776,44229.902369313735,9.858201277062607e-05,0.08133123489709798
0.011325240515345364,9.909790119787973e-05,5.838538788948002e-05,1.6973065484375305,0.01050564469326776,123.92831942244452,3302.937065385475,0.04640400602764578,45720.84877983712,9.858109605131703e-05,0.08232550884879676
0.01156118302608173,9.871777260812752e-05,5.8261576554119e-05,1.6943889686271858,0.010466156970208446,126.50709039214897,3302.926965680799,0.04612320082141977,47245.008716473865,9.858015076212832e-05,0.08333826895457681
0.011797125536818089,9.833764401837532e-05,5.813776521875798e-05,1.6914589621454348,0.010420914996766856,129.0858613618534,3302.916550754918,0.04584239561519376,48803.27189910061,9.857917582316727e-05,0.08436998164251384
