x_m,radius_m,mach,temperature_K,pressure_bar,gamma
0.0771101111145715,0.03401379589931732,2.6434328979781907,1822.2215320469795,1.2830403826653514,1.2326396891453668
0.0772721915096548,0.03407917135043462,2.647069800569576,1818.6484473849769,1.2750585299996149,1.2330174564704721
0.07743427190473809,0.03414410817677577,2.650675849984765,1815.1141737026967,1.2671971416542132,1.233390623781337
0.0775963522998214,0.03420860637834078,2.6542510870537117,1811.6186766347241,1.2594543538842287,1.2337591691772734
0.07775843269490469,0.03427266595512965,2.6577955527822525,1808.1619149965322,1.2518283393584757,1.2341230724903622
0.07792051308998799,0.03433628690714238,2.6613092884471063,1804.7438408479488,1.244317306282893,1.2344823152775146
0.0780825934850713,0.034399469234378977,2.6647923356923107,1801.3643995561727,1.2369194975395743,1.234836880811904
0.07824467388015459,0.03446221293683942,2.6682447366211033,1798.0235298619295,1.2296331898542805,1.2351867540737818
0.07840675427523788,0.03452451801452373,2.6716665338843057,1794.7211639480429,1.2224566929891594,1.2355319217406815
0.07856883467032119,0.0345863844674319,2.6750577707652194,1791.457227510307,1.2153883489598465,1.2358723721770186
0.07873091506540449,0.034647812295563914,2.6784184912610858,1788.2316398305643,1.2084265312760603,1.2362080954230952
0.07889299546048778,0.03470880149891979,2.6817487401611335,1785.044313851878,1.2015696442048944,1.236539083183517
0.07905507585557109,0.03476935207749954,2.685048563121239,1781.8951562557215,1.194816122056039,1.2368653288150298
0.07921715625065438,0.034829464031303145,2.6883180067352455,1778.7840675410737,1.1881644284881672,1.2371868273137847
0.07937923664573768,0.0348891373603306,2.691557118602963,1775.7109421053426,1.181613055835765,1.2375035753020396
0.07954131704082099,0.03494837206458193,2.6947659473948904,1772.6756683270194,1.1751605244557124,1.237815571014307
0.07970339743590428,0.035007168144057105,2.6979445429136693,1769.6781286500106,1.16880538209299,1.238122814282953
0.07986547783098757,0.03506552559875614,2.701092956152347,1766.7181996695142,1.1625462032647778,1.2384253065232615
0.08002755822607088,0.03512344442867904,2.704211239349425,1763.7957522194324,1.15638158866246,1.2387230507179672
0.08018963862115418,0.035180924633825786,2.7072994460407678,1760.910651461187,1.1503101645708345,1.2390160514012707
0.08035171901623747,0.035237966214196406,2.710357631108396,1758.062756973907,1.1443305823040069,1.2393043146423406
0.08051379941132078,0.035294569169790874,2.7133858508261803,1755.2519228459025,1.1384415176574372,1.2395878480283165
0.08067587980640407,0.03535073350060921,2.7163841629024974,1752.4779977673652,1.1326416703755715,1.2398666606468178
0.08083796020148737,0.035406459206651406,2.7193526265198473,1749.7408251242464,1.1269297636346078,1.24014076306797
0.08100004059657068,0.035461746287917456,2.7222913023715116,1747.040243093226,1.1213045435398379,1.240410167325957
