x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.114447,0.033322,2.835597,1.243494,3136.758,800.000,1.130846,2457.833,5743360.819
0.114799,0.033371,2.837966,1.243726,3136.541,800.000,1.130346,2450.283,5725187.360
0.115152,0.033419,2.840313,1.243953,3136.328,800.000,1.129852,2442.831,5707254.101
0.115504,0.033467,2.842636,1.244176,3136.118,800.000,1.129365,2435.476,5689558.430
0.115857,0.033515,2.844937,1.244395,3135.911,800.000,1.128884,2428.217,5672097.775
0.116209,0.033562,2.847214,1.244609,3135.706,800.000,1.128410,2421.053,5654869.604
0.116562,0.033609,2.849468,1.244819,3135.505,800.000,1.127941,2413.984,5637871.422
0.116914,0.033655,2.851700,1.245024,3135.306,800.000,1.127479,2407.008,5621100.770
0.117267,0.033701,2.853909,1.245225,3135.111,800.000,1.127023,2400.124,5604555.228
0.117619,0.033747,2.856095,1.245422,3134.918,800.000,1.126573,2393.331,5588232.411
0.117972,0.033792,2.858259,1.245615,3134.729,800.000,1.126130,2386.629,5572129.969
0.118324,0.033837,2.860401,1.245804,3134.542,800.000,1.125692,2380.016,5556245.587
0.118677,0.033881,2.862520,1.245988,3134.358,800.000,1.125260,2373.491,5540576.987
0.119029,0.033925,2.864617,1.246169,3134.176,800.000,1.124835,2367.054,5525121.922
0.119382,0.033969,2.866693,1.246345,3133.998,800.000,1.124415,2360.704,5509878.179
0.119734,0.034012,2.868746,1.246517,3133.822,800.000,1.124002,2354.440,5494843.579
0.120087,0.034055,2.870777,1.246685,3133.649,800.000,1.123594,2348.261,5480015.976
0.120439,0.034097,2.872787,1.246849,3133.479,800.000,1.123193,2342.165,5465393.252
0.120792,0.034139,2.874774,1.247009,3133.311,800.000,1.122797,2336.154,5450973.326
0.121144,0.034181,2.876741,1.247166,3133.146,800.000,1.122407,2330.224,5436754.144
0.121497,0.034222,2.878685,1.247318,3132.984,800.000,1.122023,2324.377,5422733.685
0.121849,0.034263,2.880609,1.247467,3132.824,800.000,1.121644,2318.610,5408909.956
0.122202,0.034303,2.882511,1.247612,3132.667,800.000,1.121272,2312.924,5395280.995
0.122555,0.034344,2.884391,1.247753,3132.512,800.000,1.120905,2307.317,5381844.870
0.122907,0.034383,2.886251,1.247890,3132.360,800.000,1.120543,2301.788,5368599.676
0.123260,0.034422,2.888089,1.248024,3132.211,800.000,1.120188,2296.338,5355543.539
0.123612,0.034461,2.889907,1.248154,3132.064,800.000,1.119838,2290.964,5342674.610
0.123965,0.034500,2.891703,1.248281,3131.919,800.000,1.119493,2285.667,5329991.070
0.124317,0.034538,2.893479,1.248404,3131.777,800.000,1.119154,2280.446,5317491.127
0.124670,0.034575,2.895233,1.248524,3131.637,800.000,1.118820,2275.300,5305173.017
0.125022,0.034613,2.896967,1.248640,3131.500,800.000,1.118492,2270.227,5293034.999
0.125375,0.034649,2.898681,1.248753,3131.365,800.000,1.118169,2265.229,5281075.363
0.125727,0.034686,2.900374,1.248862,3131.232,800.000,1.117852,2260.303,5269292.423
0.126080,0.034722,2.902046,1.248969,3131.102,800.000,1.117540,2255.450,5257684.517
0.126432,0.034758,2.903698,1.249072,3130.974,800.000,1.117233,2250.669,5246250.010
0.126785,0.034793,2.905330,1.249172,3130.848,800.000,1.116931,2245.958,5234987.293
0.127137,0.034828,2.906941,1.249268,3130.725,800.000,1.116634,2241.318,5223894.781
0.127490,0.034862,2.908533,1.249362,3130.604,800.000,1.116343,2236.747,5212970.912
0.127842,0.034896,2.910104,1.249453,3130.485,800.000,1.116057,2232.246,5202214.150
0.128195,0.034930,2.911654,1.249540,3130.368,800.000,1.115775,2227.813,5191622.981
0.128547,0.034963,2.913185,1.249625,3130.253,800.000,1.115499,2223.448,5181195.918
0.128900,0.034996,2.914696,1.249707,3130.141,800.000,1.115227,2219.150,5170931.493
0.129252,0.035029,2.916187,1.249786,3130.030,800.000,1.114961,2214.919,5160828.265
0.129605,0.035061,2.917659,1.249863,3129.922,800.000,1.114699,2210.754,5150884.813
0.129957,0.035092,2.919110,1.249936,3129.816,800.000,1.114442,2206.655,5141099.740
0.130310,0.035124,2.920542,1.250007,3129.711,800.000,1.114190,2202.621,5131471.670
0.130662,0.035154,2.921954,1.250076,3129.609,800.000,1.113942,2198.652,5121999.252
0.131015,0.035185,2.923347,1.250141,3129.509,800.000,1.113700,2194.746,5112681.154
0.131367,0.035215,2.924720,1.250205,3129.411,800.000,1.113461,2190.904,5103516.067
0.131720,0.035245,2.926073,1.250266,3129.314,800.000,1.113228,2187.125,5094502.702
0.132072,0.035274,2.927407,1.250324,3129.220,800.000,1.112999,2183.409,5085639.793
0.132425,0.035303,2.928722,1.250380,3129.128,800.000,1.112774,2179.754,5076926.095
0.132777,0.035331,2.930017,1.250434,3129.037,800.000,1.112554,2176.161,5068360.383
0.133130,0.035359,2.931293,1.250486,3128.948,800.000,1.112338,2172.629,5059941.452
0.133482,0.035387,2.932550,1.250535,3128.861,800.000,1.112127,2169.158,5051668.119
0.133835,0.035414,2.933788,1.250582,3128.776,800.000,1.111919,2165.746,5043539.221
0.134187,0.035441,2.935007,1.250628,3128.693,800.000,1.111716,2162.395,5035553.613
0.134540,0.035468,2.936206,1.250671,3128.612,800.000,1.111518,2159.102,5027710.173
0.134892,0.035494,2.937387,1.250712,3128.532,800.000,1.111323,2155.868,5020007.796
0.135245,0.035520,2.938548,1.250751,3128.454,800.000,1.111133,2152.693,5012445.399
0.135597,0.035545,2.939691,1.250789,3128.377,800.000,1.110946,2149.575,5005021.916
0.135950,0.035570,2.940815,1.250824,3128.303,800.000,1.110764,2146.515,4997736.303
0.136302,0.035594,2.941919,1.250858,3128.230,800.000,1.110585,2143.512,4990587.533
0.136655,0.035618,2.943005,1.250890,3128.158,800.000,1.110411,2140.565,4983574.597
0.137007,0.035642,2.944073,1.250921,3128.089,800.000,1.110240,2137.675,4976696.508
