x_mm,radius_mm,z_mm
0.0,48.0,0.0
0.24692205036638132,47.79280779860803,0.0
0.4938441007327557,47.585615597216076,0.0
0.740766151099137,47.37842339582411,0.0
0.9876882014655114,47.17123119443214,0.0
1.2346102518318927,46.96403899304017,0.0
1.4815323021982671,46.75684679164821,0.0
1.7284543525646483,46.549654590256246,0.0
1.9753764029310228,46.34246238886428,0.0
2.222298453297404,46.13527018747231,0.0
2.4692205036637787,45.928077986080346,0.0
2.71614255403016,45.72088578468838,0.0
2.963064604396541,45.513693583296416,0.0
3.2099866547629157,45.306501381904454,0.0
3.4569087051292966,45.09930918051248,0.0
3.7038307554956713,44.892116979120516,0.0
3.9507528058620527,44.68492477772855,0.0
4.197674856228427,44.477732576336585,0.0
4.444596906594808,44.27054037494462,0.0
4.691518956961183,44.063348173552654,0.0
4.9384410073275635,43.856155972160686,0.0
5.185363057693938,43.648963770768724,0.0
5.43228510806032,43.441771569376755,0.0
5.679207158426694,43.2345793679848,0.0
5.926129208793076,43.027387166592824,0.0
6.1730512591594495,42.82019496520086,0.0
6.419973309525831,42.61300276380889,0.0
6.666895359892212,42.405810562416924,0.0
6.913817410258587,42.19861836102497,0.0
7.160739460624968,41.991426159632994,0.0
7.407661510991343,41.78423395824103,0.0
7.6545835613577236,41.57704175684906,0.0
7.901505611724098,41.3698495554571,0.0
8.14842766209048,41.16265735406514,0.0
8.395349712456854,40.95546515267317,0.0
8.642271762823235,40.7482729512812,0.0
8.889193813189609,40.54108074988924,0.0
9.136115863555991,40.33388854849727,0.0
9.383037913922372,40.12669634710531,0.0
9.629959964288746,39.91950414571334,0.0
9.876882014655122,39.71231194432138,0.0
10.123804065021503,39.50511974292941,0.0
10.370726115387884,39.29792754153744,0.0
10.617648165754257,39.090735340145486,0.0
10.86457021612064,38.88354313875352,0.0
11.111492266487014,38.67635093736155,0.0
11.358414316853395,38.46915873596958,0.0
11.605336367219769,38.26196653457762,0.0
11.852258417586151,38.054774333185655,0.0
12.099180467952532,37.84758213179368,0.0
12.346102518318906,37.640389930401724,0.0
12.59302456868528,37.433197729009756,0.0
12.839946619051663,37.22600552761779,0.0
13.086868669418044,37.018813326225825,0.0
13.333790719784417,36.811621124833856,0.0
13.580712770150798,36.60442892344189,0.0
13.827634820517174,36.397236722049925,0.0
14.074556870883555,36.190044520657956,0.0
14.321478921249929,35.982852319266,0.0
14.56840097161631,35.77566011787403,0.0
14.815323021982685,35.568467916482064,0.0
15.062245072349066,35.361275715090095,0.0
15.309167122715444,35.154083513698126,0.0
15.556089173081823,34.94689131230617,0.0
15.8030112234482,34.7396991109142,0.0
16.049933273814577,34.53250690952224,0.0
16.296855324180957,34.32531470813027,0.0
16.543777374547332,34.1181225067383,0.0
16.79069942491371,33.91093030534634,0.0
17.03762147528009,33.70373810395437,0.0
17.284543525646466,33.49654590256241,0.0
17.53146557601285,33.28935370117044,0.0
17.778387626379224,33.08216149977847,0.0
18.025309676745604,32.87496929838652,0.0
18.272231727111983,32.66777709699455,0.0
18.51915377747836,32.46058489560258,0.0
18.766075827844737,32.25339269421061,0.0
19.012997878211117,32.04620049281864,0.0
19.259919928577492,31.839008291426683,0.0
19.50684197894387,31.63181609003472,0.0
19.753764029310247,31.424623888642756,0.0
20.000686079676626,31.217431687250787,0.0
20.247608130043005,31.010239485858822,0.0
20.49453018040938,30.803047284466857,0.0
20.741452230775764,30.595855083074888,0.0
20.988374281142143,30.388662881682922,0.0
21.23529633150852,30.181470680290957,0.0
21.482218381874898,29.974278478898995,0.0
21.729140432241277,29.767086277507026,0.0
21.976062482607652,29.55989407611506,0.0
22.22298453297403,29.352701874723095,0.0
22.469906583340407,29.14550967333113,0.0
22.716828633706786,28.938317471939165,0.0
22.963750684073165,28.7311252705472,0.0
23.21067273443954,28.523933069155234,0.0
23.45759478480592,28.31674086776327,0.0
23.704516835172303,28.1095486663713,0.0
23.95143888553868,27.902356464979334,0.0
24.198360935905058,27.69516426358737,0.0
24.445282986271433,27.487972062195404,0.0
24.692205036637812,27.28077986080344,0.0
24.93912708700419,27.073587659411473,0.0
25.186049137370567,26.866395458019507,0.0
25.432971187736946,26.659203256627542,0.0
25.679893238103325,26.452011055235577,0.0
25.9268152884697,26.244818853843615,0.0
26.17373733883608,26.037626652451646,0.0
26.42065938920246,25.83043445105968,0.0
26.667581439568835,25.623242249667715,0.0
26.914503489935218,25.416050048275746,0.0
27.161425540301593,25.208857846883785,0.0
