x_m,radius_m,Mach,theta_deg,pressure_bar
0.05580523155137498,0.0,1.2520800842657236,0.0,12.700308245075906
0.05577964359678987,3.401705905755773e-05,1.2510757156274006,0.015298239645625301,12.716794450885974
0.0557330134023231,9.61969684250558e-05,1.2492518899602558,0.04297890254014546,12.746760268259525
0.05567290201221422,0.00017667061169264036,1.2469131809268068,0.07826489634921807,12.785239617122228
0.055602112130020066,0.00027188475254744614,1.2441770002744688,0.11923858470864604,12.830335250284753
0.055522334895631034,0.00037975953396617365,1.2411168798626702,0.16465836183641433,12.880867200902253
0.055434767492502215,0.000498868087092421,1.2377867131571987,0.21359019666827112,12.935974689345956
0.05534033505521635,0.0006281413743272321,1.2342294516168348,0.2652759550005416,12.99497320990295
0.05523979344303248,0.0007667311450277229,1.230481124163861,0.31907284628695814,13.057288444717544
0.05513378423645027,0.0009139362925365116,1.226572983405786,0.3744212737274914,13.122420987921304
0.05502286709171522,0.0010691592561655082,1.2225327658653309,0.4308260499220413,13.189925670708748
0.05490754009195775,0.0012318783534268237,1.218385483846582,0.4878446205910298,13.259398626409324
0.05478825319706626,0.0014016292767459666,1.2141539490260385,0.5450792533509865,13.330468804946554
0.05466541747417121,0.0015779922013136234,1.209859132779381,0.6021715970493458,13.402792206706579
0.05453941162182345,0.0017605825020409562,1.2055204223521876,0.6587987165135326,13.476047859439165
0.05441058669124171,0.0019490438867466556,1.20115580804941,0.7146700722893888,13.549934954877662
0.05427926956966552,0.0021430432016108295,1.1967820233483797,0.7695251172700243,13.624170779841206
0.054145765593305806,0.002342266426899887,1.192414652102406,0.8231313002066363,13.698489203888517
0.0540103605370086,0.002546415540455287,1.188068212296204,0.8752823380313157,13.772639563163237
0.053873322151657944,0.002755206027095036,1.18375622284823,0.925796664390671,13.84638582911612
0.053734901370689286,0.0029683648776025074,1.179491258026619,0.974515991477789,13.919505982821626
0.05359533327375195,0.003185628964800655,1.1752849927572493,1.0213039422150954,13.991791537152361
0.05345483787260748,0.0034067437142225885,1.1711482412207739,1.0660447236405222,14.0630471639589
0.053313620768174474,0.0036314620078810086,1.1670909905184856,1.1086418221406695,14.133090393951905
0.05317187371598092,0.0038595432745990857,1.1631224307460841,1.149016708299027,14.201751364642412
0.05302977512872127,0.0040907527312083365,1.159250982493245,1.1871075444374677,14.268872597388153
0.052887490538195324,0.00432486074689868,1.1554843225482265,1.2228678919756164,14.334308788924027
0.052745173033997825,0.004561642308960049,1.1518294084060379,1.256265418874462,14.397926606118245
0.05260296369250377,0.004800876572654236,1.1482925020391093,1.2872806099029468,14.459604475368634
0.052460992006655945,0.005042346481395126,1.1448791932794753,1.3159054844227218,14.519232360215192
0.05231937632460042,0.005285838446072772,1.1415944230732336,1.3421423279260056,14.576711522526935
0.0521782243031831,0.005531142074430136,1.1384425067957964,1.3660024447474417,14.631954264111895
0.05203763338060982,0.005778049943033646,1.1354271577563146,1.3875049402419801,14.684883646861222
0.05189769127110699,0.00602635740567489,1.1325515109687267,1.4066755413012049,14.735433190617703
0.051758476483144376,0.006275862433077947,1.129818147223346,1.4235454643848555,14.783546548885445
0.05162005886165724,0.0065263654796229855,1.127229117455216,1.4381503402834641,14.829177163295748
0.051482500153705,0.0067776693734754485,1.1247859673728715,1.4505292046114013,14.872287898426196
0.05134585459611083,0.007029579227064491,1.1224897622829644,1.4607235625682733,14.912850659150134
0.051210169522830674,0.007281902365310077,1.1203411120221327,1.4687765358145783,14.950845993176163
0.051075485989096954,0.007534448269374642,1.1183401958873629,1.4747320984029064,14.986262681826041
0.05094183940877167,0.0077870285340282345,1.116486787439824,1.4786344076115556,15.019097322400212
