x_m,y_m,Ma,gamma,Taw_K,Twg_K,sigma,hg_W_m2K,qdot_W_m2
0.087395,0.025520,2.390074,1.194928,3181.979,800.000,1.222008,19631.245,46761213.385
0.087748,0.025613,2.396383,1.195457,3181.373,800.000,1.220936,19486.515,46404660.560
0.088100,0.025705,2.402632,1.195988,3180.770,800.000,1.219866,19343.870,46053313.412
0.088453,0.025797,2.408823,1.196521,3180.171,800.000,1.218800,19203.273,45707075.468
0.088805,0.025888,2.414957,1.197055,3179.575,800.000,1.217735,19064.686,45365852.660
0.089158,0.025979,2.421033,1.197591,3178.982,800.000,1.216673,18928.073,45029553.250
0.089510,0.026070,2.427053,1.198128,3178.393,800.000,1.215614,18793.397,44698087.758
0.089863,0.026160,2.433018,1.198666,3177.807,800.000,1.214558,18660.624,44371368.895
0.090215,0.026250,2.438928,1.199205,3177.225,800.000,1.213504,18529.720,44049311.494
0.090568,0.026340,2.444784,1.199745,3176.646,800.000,1.212453,18400.653,43731832.443
0.090920,0.026429,2.450586,1.200286,3176.070,800.000,1.211405,18273.389,43418850.629
0.091273,0.026517,2.456336,1.200828,3175.498,800.000,1.210360,18147.897,43110286.875
0.091625,0.026606,2.462034,1.201371,3174.929,800.000,1.209318,18024.146,42806063.878
0.091978,0.026693,2.467681,1.201913,3174.363,800.000,1.208279,17902.107,42506106.162
0.092330,0.026781,2.473277,1.202457,3173.801,800.000,1.207243,17781.749,42210340.018
0.092683,0.026868,2.478822,1.203000,3173.243,800.000,1.206210,17663.045,41918693.451
0.093035,0.026955,2.484318,1.203544,3172.688,800.000,1.205180,17545.965,41631096.136
0.093388,0.027041,2.489766,1.204088,3172.136,800.000,1.204154,17430.484,41347479.363
0.093740,0.027127,2.495164,1.204632,3171.588,800.000,1.203131,17316.573,41067775.995
0.094093,0.027212,2.500515,1.205175,3171.043,800.000,1.202111,17204.207,40791920.419
0.094445,0.027297,2.505819,1.205719,3170.502,800.000,1.201095,17093.360,40519848.505
0.094798,0.027382,2.511076,1.206262,3169.965,800.000,1.200083,16984.007,40251497.565
0.095150,0.027466,2.516287,1.206804,3169.431,800.000,1.199074,16876.124,39986806.306
0.095503,0.027550,2.521452,1.207346,3168.900,800.000,1.198069,16769.687,39725714.799
0.095855,0.027634,2.526572,1.207887,3168.373,800.000,1.197067,16664.672,39468164.434
0.096208,0.027717,2.531647,1.208428,3167.850,800.000,1.196070,16561.057,39214097.888
0.096560,0.027799,2.536678,1.208967,3167.330,800.000,1.195076,16458.819,38963459.085
0.096913,0.027882,2.541665,1.209506,3166.814,800.000,1.194086,16357.937,38716193.166
0.097265,0.027963,2.546609,1.210043,3166.301,800.000,1.193100,16258.388,38472246.452
0.097618,0.028045,2.551510,1.210579,3165.793,800.000,1.192119,16160.152,38231566.415
0.097970,0.028126,2.556369,1.211114,3165.287,800.000,1.191141,16063.209,37994101.643
0.098323,0.028207,2.561186,1.211648,3164.786,800.000,1.190168,15967.537,37759801.814
0.098675,0.028287,2.565961,1.212180,3164.288,800.000,1.189199,15873.119,37528617.664
0.099028,0.028367,2.570695,1.212711,3163.793,800.000,1.188234,15779.934,37300500.959
0.099380,0.028446,2.575388,1.213240,3163.302,800.000,1.187274,15687.964,37075404.470
0.099733,0.028526,2.580041,1.213767,3162.815,800.000,1.186319,15597.190,36853281.942
0.100085,0.028604,2.584655,1.214292,3162.332,800.000,1.185367,15507.594,36634088.073
0.100438,0.028682,2.589228,1.214815,3161.853,800.000,1.184421,15419.159,36417778.487
0.100790,0.028760,2.593763,1.215336,3161.377,800.000,1.183479,15331.866,36204309.710
0.101143,0.028838,2.598259,1.215855,3160.904,800.000,1.182542,15245.700,35993639.146
0.101496,0.028915,2.602716,1.216372,3160.436,800.000,1.181610,15160.643,35785725.055
0.101848,0.028992,2.607136,1.216887,3159.971,800.000,1.180682,15076.679,35580526.534
0.102201,0.029068,2.611517,1.217399,3159.510,800.000,1.179760,14993.793,35378003.491
0.102553,0.029144,2.615862,1.217909,3159.053,800.000,1.178842,14911.968,35178116.626
0.102906,0.029219,2.620169,1.218416,3158.599,800.000,1.177929,14831.189,34980827.412
0.103258,0.029295,2.624440,1.218920,3158.149,800.000,1.177022,14751.441,34786098.077
0.103611,0.029369,2.628674,1.219422,3157.703,800.000,1.176120,14672.709,34593891.582
0.103963,0.029444,2.632873,1.219921,3157.261,800.000,1.175223,14594.980,34404171.605
0.104316,0.029517,2.637035,1.220418,3156.822,800.000,1.174331,14518.238,34216902.521
0.104668,0.029591,2.641163,1.220911,3156.387,800.000,1.173444,14442.469,34032049.390
0.105021,0.029664,2.645255,1.221401,3155.956,800.000,1.172563,14367.661,33849577.934
0.105373,0.029737,2.649312,1.221888,3155.529,800.000,1.171688,14293.799,33669454.525
0.105726,0.029809,2.653335,1.222372,3155.105,800.000,1.170817,14220.871,33491646.170
0.106078,0.029881,2.657324,1.222853,3154.685,800.000,1.169953,14148.864,33316120.491
0.106431,0.029953,2.661279,1.223330,3154.269,800.000,1.169094,14077.764,33142845.716
0.106783,0.030024,2.665200,1.223805,3153.857,800.000,1.168240,14007.560,32971790.661
0.107136,0.030094,2.669088,1.224275,3153.448,800.000,1.167392,13938.239,32802924.718
0.107488,0.030165,2.672943,1.224743,3153.043,800.000,1.166550,13869.790,32636217.840
0.107841,0.030235,2.676764,1.225206,3152.642,800.000,1.165714,13802.200,32471640.529
0.108193,0.030304,2.680554,1.225666,3152.245,800.000,1.164883,13735.458,32309163.824
0.108546,0.030373,2.684311,1.226123,3151.852,800.000,1.164059,13669.553,32148759.288
0.108898,0.030442,2.688036,1.226576,3151.462,800.000,1.163240,13604.474,31990398.992
0.109251,0.030510,2.691729,1.227025,3151.076,800.000,1.162427,13540.209,31834055.512
